"Label (Grouping)","Total"
"    ZCTA5 19125","25,325"
"ZCTA5 19126",""
"    ZCTA5 19126","16,159"
"ZCTA5 19127",""
"    ZCTA5 19127","6,929"
"ZCTA5 19128",""
"    ZCTA5 19128","36,808"
"ZCTA5 19129",""
"    ZCTA5 19129","11,437"
"ZCTA5 19130",""
"    ZCTA5 19130","31,477"
"ZCTA5 19131",""
"    ZCTA5 19131","42,705"
"ZCTA5 19132",""
"    ZCTA5 19132","33,926"
"ZCTA5 19133",""
"    ZCTA5 19133","24,772"
"ZCTA5 19134",""
"    ZCTA5 19134","57,463"
"ZCTA5 19135",""
"    ZCTA5 19135","35,422"
"ZCTA5 19136",""
"    ZCTA5 19136","39,151"
"ZCTA5 19137",""
"    ZCTA5 19137","8,682"
"ZCTA5 19138",""
"    ZCTA5 19138","31,816"
"ZCTA5 19139",""
"    ZCTA5 19139","43,281"
"ZCTA5 19140",""
"    ZCTA5 19140","52,124"
"ZCTA5 19141",""
"    ZCTA5 19141","31,047"
"ZCTA5 19142",""
"    ZCTA5 19142","29,565"
"ZCTA5 19143",""
"    ZCTA5 19143","64,648"
"ZCTA5 19144",""
"    ZCTA5 19144","44,481"
"ZCTA5 19145",""
"    ZCTA5 19145","47,079"
"ZCTA5 19146",""
"    ZCTA5 19146","41,920"
"ZCTA5 19147",""
"    ZCTA5 19147","41,096"
"ZCTA5 19148",""
"    ZCTA5 19148","53,976"
"ZCTA5 19149",""
"    ZCTA5 19149","60,408"
"ZCTA5 19150",""
"    ZCTA5 19150","23,126"
"ZCTA5 19151",""
"    ZCTA5 19151","30,394"
"ZCTA5 19152",""
"    ZCTA5 19152","35,911"
"ZCTA5 19153",""
"    ZCTA5 19153","11,985"
"ZCTA5 19154",""
"    ZCTA5 19154","34,681"
"ZCTA5 19301",""
"    ZCTA5 19301","7,542"
"ZCTA5 19310",""
"    ZCTA5 19310","2,898"
"ZCTA5 19311",""
"    ZCTA5 19311","9,556"
"ZCTA5 19312",""
"    ZCTA5 19312","11,848"
"ZCTA5 19316",""
"    ZCTA5 19316","166"
"ZCTA5 19317",""
"    ZCTA5 19317","10,714"
"ZCTA5 19319",""
"    ZCTA5 19319","824"
"ZCTA5 19320",""
"    ZCTA5 19320","54,149"
"ZCTA5 19330",""
"    ZCTA5 19330","5,705"
"ZCTA5 19333",""
"    ZCTA5 19333","7,734"
"ZCTA5 19335",""
"    ZCTA5 19335","52,406"
"ZCTA5 19341",""
"    ZCTA5 19341","18,808"
"ZCTA5 19342",""
"    ZCTA5 19342","20,550"
"ZCTA5 19343",""
"    ZCTA5 19343","8,711"
"ZCTA5 19344",""
"    ZCTA5 19344","12,869"
"ZCTA5 19345",""
"    ZCTA5 19345","788"
"ZCTA5 19348",""
"    ZCTA5 19348","22,606"
"ZCTA5 19350",""
"    ZCTA5 19350","11,030"
"ZCTA5 19352",""
"    ZCTA5 19352","10,495"
"ZCTA5 19355",""
"    ZCTA5 19355","29,273"
"ZCTA5 19358",""
"    ZCTA5 19358","318"
"ZCTA5 19362",""
"    ZCTA5 19362","5,888"
"ZCTA5 19363",""
"    ZCTA5 19363","18,104"
"ZCTA5 19365",""
"    ZCTA5 19365","7,410"
"ZCTA5 19367",""
"    ZCTA5 19367","188"
"ZCTA5 19369",""
"    ZCTA5 19369","252"
"ZCTA5 19372",""
"    ZCTA5 19372","2,348"
"ZCTA5 19373",""
"    ZCTA5 19373","2,648"
"ZCTA5 19374",""
"    ZCTA5 19374","988"
"ZCTA5 19375",""
"    ZCTA5 19375","212"
"ZCTA5 19380",""
"    ZCTA5 19380","50,692"
"ZCTA5 19382",""
"    ZCTA5 19382","52,498"
"ZCTA5 19383",""
"    ZCTA5 19383","5,053"
"ZCTA5 19390",""
"    ZCTA5 19390","14,101"
"ZCTA5 19401",""
"    ZCTA5 19401","43,414"
"ZCTA5 19403",""
"    ZCTA5 19403","43,734"
"ZCTA5 19405",""
"    ZCTA5 19405","5,558"
"ZCTA5 19406",""
"    ZCTA5 19406","28,553"
"ZCTA5 19422",""
"    ZCTA5 19422","20,117"
"ZCTA5 19425",""
"    ZCTA5 19425","16,352"
"ZCTA5 19426",""
"    ZCTA5 19426","43,541"
"ZCTA5 19428",""
"    ZCTA5 19428","19,690"
"ZCTA5 19435",""
"    ZCTA5 19435","224"
"ZCTA5 19436",""
"    ZCTA5 19436","573"
"ZCTA5 19437",""
"    ZCTA5 19437","955"
"ZCTA5 19438",""
"    ZCTA5 19438","25,134"
"ZCTA5 19440",""
"    ZCTA5 19440","19,683"
"ZCTA5 19442",""
"    ZCTA5 19442","61"
"ZCTA5 19444",""
"    ZCTA5 19444","10,806"
"ZCTA5 19446",""
"    ZCTA5 19446","58,930"
"ZCTA5 19453",""
"    ZCTA5 19453","1,338"
"ZCTA5 19454",""
"    ZCTA5 19454","28,833"
"ZCTA5 19456",""
"    ZCTA5 19456","302"
"ZCTA5 19457",""
"    ZCTA5 19457","103"
"ZCTA5 19460",""
"    ZCTA5 19460","43,611"
"ZCTA5 19462",""
"    ZCTA5 19462","16,267"
"ZCTA5 19464",""
"    ZCTA5 19464","48,409"
"ZCTA5 19465",""
"    ZCTA5 19465","18,217"
"ZCTA5 19468",""
"    ZCTA5 19468","27,869"
"ZCTA5 19472",""
"    ZCTA5 19472","92"
"ZCTA5 19473",""
"    ZCTA5 19473","16,028"
"ZCTA5 19474",""
"    ZCTA5 19474","682"
"ZCTA5 19475",""
"    ZCTA5 19475","12,028"
"ZCTA5 19477",""
"    ZCTA5 19477","126"
"ZCTA5 19490",""
"    ZCTA5 19490","316"
"ZCTA5 19492",""
"    ZCTA5 19492","941"
"ZCTA5 19501",""
"    ZCTA5 19501","906"
"ZCTA5 19503",""
"    ZCTA5 19503","1,270"
"ZCTA5 19504",""
"    ZCTA5 19504","5,343"
"ZCTA5 19505",""
"    ZCTA5 19505","3,397"
"ZCTA5 19506",""
"    ZCTA5 19506","7,443"
"ZCTA5 19507",""
"    ZCTA5 19507","3,434"
"ZCTA5 19508",""
"    ZCTA5 19508","15,855"
"ZCTA5 19510",""
"    ZCTA5 19510","7,717"
"ZCTA5 19511",""
"    ZCTA5 19511","200"
"ZCTA5 19512",""
"    ZCTA5 19512","16,928"
"ZCTA5 19516",""
"    ZCTA5 19516","140"
"ZCTA5 19518",""
"    ZCTA5 19518","16,441"
"ZCTA5 19520",""
"    ZCTA5 19520","5,932"
"ZCTA5 19522",""
"    ZCTA5 19522","14,098"
"ZCTA5 19523",""
"    ZCTA5 19523","170"
"ZCTA5 19525",""
"    ZCTA5 19525","16,506"
"ZCTA5 19526",""
"    ZCTA5 19526","11,139"
"ZCTA5 19529",""
"    ZCTA5 19529","2,986"
"ZCTA5 19530",""
"    ZCTA5 19530","14,830"
"ZCTA5 19533",""
"    ZCTA5 19533","7,710"
"ZCTA5 19534",""
"    ZCTA5 19534","2,065"
"ZCTA5 19535",""
"    ZCTA5 19535","96"
"ZCTA5 19536",""
"    ZCTA5 19536","443"
"ZCTA5 19538",""
"    ZCTA5 19538","124"
"ZCTA5 19539",""
"    ZCTA5 19539","4,488"
"ZCTA5 19540",""
"    ZCTA5 19540","11,861"
"ZCTA5 19541",""
"    ZCTA5 19541","4,200"
"ZCTA5 19543",""
"    ZCTA5 19543","6,256"
"ZCTA5 19544",""
"    ZCTA5 19544","232"
"ZCTA5 19545",""
"    ZCTA5 19545","225"
"ZCTA5 19547",""
"    ZCTA5 19547","4,429"
"ZCTA5 19549",""
"    ZCTA5 19549","278"
"ZCTA5 19550",""
"    ZCTA5 19550","581"
"ZCTA5 19551",""
"    ZCTA5 19551","5,075"
"ZCTA5 19554",""
"    ZCTA5 19554","337"
"ZCTA5 19555",""
"    ZCTA5 19555","3,594"
"ZCTA5 19559",""
"    ZCTA5 19559","423"
"ZCTA5 19560",""
"    ZCTA5 19560","9,290"
"ZCTA5 19562",""
"    ZCTA5 19562","2,631"
"ZCTA5 19564",""
"    ZCTA5 19564","171"
"ZCTA5 19565",""
"    ZCTA5 19565","8,995"
"ZCTA5 19567",""
"    ZCTA5 19567","5,710"
"ZCTA5 19601",""
"    ZCTA5 19601","35,477"
"ZCTA5 19602",""
"    ZCTA5 19602","19,782"
"ZCTA5 19604",""
"    ZCTA5 19604","29,347"
"ZCTA5 19605",""
"    ZCTA5 19605","21,356"
"ZCTA5 19606",""
"    ZCTA5 19606","35,153"
"ZCTA5 19607",""
"    ZCTA5 19607","23,431"
"ZCTA5 19608",""
"    ZCTA5 19608","24,378"
"ZCTA5 19609",""
"    ZCTA5 19609","10,478"
"ZCTA5 19610",""
"    ZCTA5 19610","16,024"
"ZCTA5 19611",""
"    ZCTA5 19611","11,238"
"ZCTA5 19701",""
"    ZCTA5 19701","42,717"
"ZCTA5 19702",""
"    ZCTA5 19702","55,653"
"ZCTA5 19703",""
"    ZCTA5 19703","16,175"
"ZCTA5 19706",""
"    ZCTA5 19706","1,938"
"ZCTA5 19707",""
"    ZCTA5 19707","17,274"
"ZCTA5 19709",""
"    ZCTA5 19709","49,599"
"ZCTA5 19710",""
"    ZCTA5 19710","108"
"ZCTA5 19711",""
"    ZCTA5 19711","48,477"
"ZCTA5 19713",""
"    ZCTA5 19713","31,867"
"ZCTA5 19716",""
"    ZCTA5 19716","42"
"ZCTA5 19717",""
"    ZCTA5 19717","6,201"
"ZCTA5 19720",""
"    ZCTA5 19720","61,043"
"ZCTA5 19730",""
"    ZCTA5 19730","472"
"ZCTA5 19731",""
"    ZCTA5 19731","329"
"ZCTA5 19732",""
"    ZCTA5 19732","223"
"ZCTA5 19733",""
"    ZCTA5 19733","320"
"ZCTA5 19734",""
"    ZCTA5 19734","14,116"
"ZCTA5 19735",""
"    ZCTA5 19735","16"
"ZCTA5 19736",""
"    ZCTA5 19736","34"
"ZCTA5 19801",""
"    ZCTA5 19801","16,219"
"ZCTA5 19802",""
"    ZCTA5 19802","26,189"
"ZCTA5 19803",""
"    ZCTA5 19803","21,886"
"ZCTA5 19804",""
"    ZCTA5 19804","18,292"
"ZCTA5 19805",""
"    ZCTA5 19805","39,985"
"ZCTA5 19806",""
"    ZCTA5 19806","10,083"
"ZCTA5 19807",""
"    ZCTA5 19807","8,089"
"ZCTA5 19808",""
"    ZCTA5 19808","39,285"
"ZCTA5 19809",""
"    ZCTA5 19809","14,658"
"ZCTA5 19810",""
"    ZCTA5 19810","25,270"
"ZCTA5 19901",""
"    ZCTA5 19901","36,839"
"ZCTA5 19902",""
"    ZCTA5 19902","108"
"ZCTA5 19904",""
"    ZCTA5 19904","36,880"
"ZCTA5 19930",""
"    ZCTA5 19930","2,657"
"ZCTA5 19931",""
"    ZCTA5 19931","258"
"ZCTA5 19933",""
"    ZCTA5 19933","9,784"
"ZCTA5 19934",""
"    ZCTA5 19934","14,243"
"ZCTA5 19936",""
"    ZCTA5 19936","329"
"ZCTA5 19938",""
"    ZCTA5 19938","10,131"
"ZCTA5 19939",""
"    ZCTA5 19939","7,357"
"ZCTA5 19940",""
"    ZCTA5 19940","6,541"
"ZCTA5 19941",""
"    ZCTA5 19941","2,857"
"ZCTA5 19943",""
"    ZCTA5 19943","12,523"
"ZCTA5 19944",""
"    ZCTA5 19944","519"
"ZCTA5 19945",""
"    ZCTA5 19945","8,041"
"ZCTA5 19946",""
"    ZCTA5 19946","4,932"
"ZCTA5 19947",""
"    ZCTA5 19947","20,964"
"ZCTA5 19950",""
"    ZCTA5 19950","7,095"
"ZCTA5 19951",""
"    ZCTA5 19951","1,986"
"ZCTA5 19952",""
"    ZCTA5 19952","10,621"
"ZCTA5 19953",""
"    ZCTA5 19953","4,500"
"ZCTA5 19954",""
"    ZCTA5 19954","1,629"
"ZCTA5 19955",""
"    ZCTA5 19955","191"
"ZCTA5 19956",""
"    ZCTA5 19956","16,327"
"ZCTA5 19958",""
"    ZCTA5 19958","27,911"
"ZCTA5 19960",""
"    ZCTA5 19960","7,121"
"ZCTA5 19962",""
"    ZCTA5 19962","13,692"
"ZCTA5 19963",""
"    ZCTA5 19963","20,827"
"ZCTA5 19964",""
"    ZCTA5 19964","1,298"
"ZCTA5 19966",""
"    ZCTA5 19966","32,520"
"ZCTA5 19967",""
"    ZCTA5 19967","1,802"
"ZCTA5 19968",""
"    ZCTA5 19968","13,800"
"ZCTA5 19970",""
"    ZCTA5 19970","8,591"
"ZCTA5 19971",""
"    ZCTA5 19971","14,348"
"ZCTA5 19973",""
"    ZCTA5 19973","25,550"
"ZCTA5 19975",""
"    ZCTA5 19975","10,476"
"ZCTA5 19977",""
"    ZCTA5 19977","27,505"
"ZCTA5 19979",""
"    ZCTA5 19979","722"
"ZCTA5 19980",""
"    ZCTA5 19980","235"
"ZCTA5 20001",""
"    ZCTA5 20001","49,040"
"ZCTA5 20002",""
"    ZCTA5 20002","69,422"
"ZCTA5 20003",""
"    ZCTA5 20003","36,501"
"ZCTA5 20004",""
"    ZCTA5 20004","1,682"
"ZCTA5 20005",""
"    ZCTA5 20005","12,953"
"ZCTA5 20006",""
"    ZCTA5 20006","1,599"
"ZCTA5 20007",""
"    ZCTA5 20007","26,827"
"ZCTA5 20008",""
"    ZCTA5 20008","30,143"
"ZCTA5 20009",""
"    ZCTA5 20009","53,357"
"ZCTA5 20010",""
"    ZCTA5 20010","32,663"
"ZCTA5 20011",""
"    ZCTA5 20011","67,815"
"ZCTA5 20012",""
"    ZCTA5 20012","15,485"
"ZCTA5 20015",""
"    ZCTA5 20015","16,628"
"ZCTA5 20016",""
"    ZCTA5 20016","35,068"
"ZCTA5 20017",""
"    ZCTA5 20017","20,293"
"ZCTA5 20018",""
"    ZCTA5 20018","20,646"
"ZCTA5 20019",""
"    ZCTA5 20019","59,601"
"ZCTA5 20020",""
"    ZCTA5 20020","51,616"
"ZCTA5 20024",""
"    ZCTA5 20024","15,952"
"ZCTA5 20032",""
"    ZCTA5 20032","38,904"
"ZCTA5 20036",""
"    ZCTA5 20036","6,109"
"ZCTA5 20037",""
"    ZCTA5 20037","14,945"
"ZCTA5 20045",""
"    ZCTA5 20045","7"
"ZCTA5 20052",""
"    ZCTA5 20052","3,691"
"ZCTA5 20057",""
"    ZCTA5 20057","4,091"
"ZCTA5 20059",""
"    ZCTA5 20059","1,717"
"ZCTA5 20064",""
"    ZCTA5 20064","1,914"
"ZCTA5 20105",""
"    ZCTA5 20105","34,475"
"ZCTA5 20106",""
"    ZCTA5 20106","4,554"
"ZCTA5 20109",""
"    ZCTA5 20109","43,849"
"ZCTA5 20110",""
"    ZCTA5 20110","49,120"
"ZCTA5 20111",""
"    ZCTA5 20111","38,883"
"ZCTA5 20112",""
"    ZCTA5 20112","29,459"
"ZCTA5 20115",""
"    ZCTA5 20115","6,536"
"ZCTA5 20117",""
"    ZCTA5 20117","2,746"
"ZCTA5 20119",""
"    ZCTA5 20119","4,263"
"ZCTA5 20120",""
"    ZCTA5 20120","42,697"
"ZCTA5 20121",""
"    ZCTA5 20121","28,901"
"ZCTA5 20124",""
"    ZCTA5 20124","14,999"
"ZCTA5 20129",""
"    ZCTA5 20129","482"
"ZCTA5 20130",""
"    ZCTA5 20130","359"
"ZCTA5 20132",""
"    ZCTA5 20132","18,483"
"ZCTA5 20135",""
"    ZCTA5 20135","2,935"
"ZCTA5 20136",""
"    ZCTA5 20136","31,622"
"ZCTA5 20137",""
"    ZCTA5 20137","1,801"
"ZCTA5 20141",""
"    ZCTA5 20141","8,178"
"ZCTA5 20143",""
"    ZCTA5 20143","1,124"
"ZCTA5 20144",""
"    ZCTA5 20144","1,096"
"ZCTA5 20147",""
"    ZCTA5 20147","66,394"
"ZCTA5 20148",""
"    ZCTA5 20148","61,793"
"ZCTA5 20151",""
"    ZCTA5 20151","22,653"
"ZCTA5 20152",""
"    ZCTA5 20152","37,013"
"ZCTA5 20155",""
"    ZCTA5 20155","37,218"
"ZCTA5 20158",""
"    ZCTA5 20158","4,639"
"ZCTA5 20164",""
"    ZCTA5 20164","40,888"
"ZCTA5 20165",""
"    ZCTA5 20165","33,777"
"ZCTA5 20166",""
"    ZCTA5 20166","14,164"
"ZCTA5 20169",""
"    ZCTA5 20169","28,182"
"ZCTA5 20170",""
"    ZCTA5 20170","42,756"
"ZCTA5 20171",""
"    ZCTA5 20171","51,759"
"ZCTA5 20175",""
"    ZCTA5 20175","33,245"
"ZCTA5 20176",""
"    ZCTA5 20176","51,777"
"ZCTA5 20180",""
"    ZCTA5 20180","8,073"
"ZCTA5 20181",""
"    ZCTA5 20181","9,765"
"ZCTA5 20184",""
"    ZCTA5 20184","735"
"ZCTA5 20186",""
"    ZCTA5 20186","15,171"
"ZCTA5 20187",""
"    ZCTA5 20187","18,888"
"ZCTA5 20190",""
"    ZCTA5 20190","20,957"
"ZCTA5 20191",""
"    ZCTA5 20191","29,948"
"ZCTA5 20194",""
"    ZCTA5 20194","13,171"
"ZCTA5 20197",""
"    ZCTA5 20197","2,558"
"ZCTA5 20198",""
"    ZCTA5 20198","2,440"
"ZCTA5 20204",""
"    ZCTA5 20204","0"
"ZCTA5 20220",""
"    ZCTA5 20220","0"
"ZCTA5 20230",""
"    ZCTA5 20230","0"
"ZCTA5 20240",""
"    ZCTA5 20240","0"
"ZCTA5 20245",""
"    ZCTA5 20245","0"
"ZCTA5 20250",""
"    ZCTA5 20250","0"
"ZCTA5 20260",""
"    ZCTA5 20260","0"
"ZCTA5 20317",""
"    ZCTA5 20317","49"
"ZCTA5 20319",""
"    ZCTA5 20319","72"
"ZCTA5 20373",""
"    ZCTA5 20373","396"
"ZCTA5 20388",""
"    ZCTA5 20388","0"
"ZCTA5 20390",""
"    ZCTA5 20390","255"
"ZCTA5 20408",""
"    ZCTA5 20408","13"
"ZCTA5 20415",""
"    ZCTA5 20415","0"
"ZCTA5 20418",""
"    ZCTA5 20418","0"
"ZCTA5 20422",""
"    ZCTA5 20422","47"
"ZCTA5 20427",""
"    ZCTA5 20427","0"
"ZCTA5 20431",""
"    ZCTA5 20431","0"
"ZCTA5 20510",""
"    ZCTA5 20510","0"
"ZCTA5 20515",""
"    ZCTA5 20515","4"
"ZCTA5 20520",""
"    ZCTA5 20520","0"
"ZCTA5 20530",""
"    ZCTA5 20530","0"
"ZCTA5 20535",""
"    ZCTA5 20535","8"
"ZCTA5 20540",""
"    ZCTA5 20540","0"
"ZCTA5 20542",""
"    ZCTA5 20542","12"
"ZCTA5 20551",""
"    ZCTA5 20551","0"
"ZCTA5 20560",""
"    ZCTA5 20560","0"
"ZCTA5 20565",""
"    ZCTA5 20565","0"
"ZCTA5 20566",""
"    ZCTA5 20566","5"
"ZCTA5 20591",""
"    ZCTA5 20591","15"
"ZCTA5 20601",""
"    ZCTA5 20601","27,789"
"ZCTA5 20602",""
"    ZCTA5 20602","28,736"
"ZCTA5 20603",""
"    ZCTA5 20603","32,485"
"ZCTA5 20606",""
"    ZCTA5 20606","251"
"ZCTA5 20607",""
"    ZCTA5 20607","12,762"
"ZCTA5 20608",""
"    ZCTA5 20608","878"
"ZCTA5 20609",""
"    ZCTA5 20609","1,076"
"ZCTA5 20611",""
"    ZCTA5 20611","1,100"
"ZCTA5 20612",""
"    ZCTA5 20612","232"
"ZCTA5 20613",""
"    ZCTA5 20613","15,726"
"ZCTA5 20615",""
"    ZCTA5 20615","379"
"ZCTA5 20616",""
"    ZCTA5 20616","7,356"
"ZCTA5 20617",""
"    ZCTA5 20617","761"
"ZCTA5 20618",""
"    ZCTA5 20618","1,073"
"ZCTA5 20619",""
"    ZCTA5 20619","14,179"
"ZCTA5 20620",""
"    ZCTA5 20620","1,588"
"ZCTA5 20621",""
"    ZCTA5 20621","1,214"
"ZCTA5 20622",""
"    ZCTA5 20622","4,741"
"ZCTA5 20623",""
"    ZCTA5 20623","2,846"
"ZCTA5 20624",""
"    ZCTA5 20624","1,138"
"ZCTA5 20625",""
"    ZCTA5 20625","848"
"ZCTA5 20626",""
"    ZCTA5 20626","403"
"ZCTA5 20628",""
"    ZCTA5 20628","599"
"ZCTA5 20629",""
"    ZCTA5 20629","1,188"
"ZCTA5 20630",""
"    ZCTA5 20630","586"
"ZCTA5 20632",""
"    ZCTA5 20632","538"
"ZCTA5 20634",""
"    ZCTA5 20634","6,984"
"ZCTA5 20636",""
"    ZCTA5 20636","10,615"
"ZCTA5 20637",""
"    ZCTA5 20637","6,111"
"ZCTA5 20639",""
"    ZCTA5 20639","15,344"
"ZCTA5 20640",""
"    ZCTA5 20640","9,949"
"ZCTA5 20645",""
"    ZCTA5 20645","769"
"ZCTA5 20646",""
"    ZCTA5 20646","20,411"
"ZCTA5 20650",""
"    ZCTA5 20650","15,298"
"ZCTA5 20653",""
"    ZCTA5 20653","25,180"
"ZCTA5 20656",""
"    ZCTA5 20656","106"
"ZCTA5 20657",""
"    ZCTA5 20657","20,042"
"ZCTA5 20658",""
"    ZCTA5 20658","968"
"ZCTA5 20659",""
"    ZCTA5 20659","24,427"
"ZCTA5 20660",""
"    ZCTA5 20660","107"
"ZCTA5 20661",""
"    ZCTA5 20661","0"
"ZCTA5 20662",""
"    ZCTA5 20662","2,564"
"ZCTA5 20664",""
"    ZCTA5 20664","2,940"
"ZCTA5 20667",""
"    ZCTA5 20667","471"
"ZCTA5 20670",""
"    ZCTA5 20670","1,226"
"ZCTA5 20674",""
"    ZCTA5 20674","718"
"ZCTA5 20675",""
"    ZCTA5 20675","1,728"
"ZCTA5 20676",""
"    ZCTA5 20676","3,462"
"ZCTA5 20677",""
"    ZCTA5 20677","2,475"
"ZCTA5 20678",""
"    ZCTA5 20678","12,818"
"ZCTA5 20680",""
"    ZCTA5 20680","944"
"ZCTA5 20684",""
"    ZCTA5 20684","1,193"
"ZCTA5 20685",""
"    ZCTA5 20685","6,648"
"ZCTA5 20686",""
"    ZCTA5 20686","977"
"ZCTA5 20687",""
"    ZCTA5 20687","304"
"ZCTA5 20688",""
"    ZCTA5 20688","1,462"
"ZCTA5 20689",""
"    ZCTA5 20689","1,915"
"ZCTA5 20690",""
"    ZCTA5 20690","954"
"ZCTA5 20692",""
"    ZCTA5 20692","738"
"ZCTA5 20693",""
"    ZCTA5 20693","1,067"
"ZCTA5 20695",""
"    ZCTA5 20695","13,318"
"ZCTA5 20701",""
"    ZCTA5 20701","1,195"
"ZCTA5 20705",""
"    ZCTA5 20705","29,456"
"ZCTA5 20706",""
"    ZCTA5 20706","43,623"
"ZCTA5 20707",""
"    ZCTA5 20707","37,702"
"ZCTA5 20708",""
"    ZCTA5 20708","27,832"
"ZCTA5 20710",""
"    ZCTA5 20710","9,850"
"ZCTA5 20711",""
"    ZCTA5 20711","7,193"
"ZCTA5 20712",""
"    ZCTA5 20712","9,526"
"ZCTA5 20714",""
"    ZCTA5 20714","4,036"
"ZCTA5 20715",""
"    ZCTA5 20715","27,127"
"ZCTA5 20716",""
"    ZCTA5 20716","22,874"
"ZCTA5 20720",""
"    ZCTA5 20720","25,702"
"ZCTA5 20721",""
"    ZCTA5 20721","29,847"
"ZCTA5 20722",""
"    ZCTA5 20722","6,498"
"ZCTA5 20723",""
"    ZCTA5 20723","35,353"
"ZCTA5 20724",""
"    ZCTA5 20724","19,163"
"ZCTA5 20732",""
"    ZCTA5 20732","10,626"
"ZCTA5 20733",""
"    ZCTA5 20733","2,806"
"ZCTA5 20735",""
"    ZCTA5 20735","38,200"
"ZCTA5 20736",""
"    ZCTA5 20736","9,632"
"ZCTA5 20737",""
"    ZCTA5 20737","24,555"
"ZCTA5 20740",""
"    ZCTA5 20740","36,930"
"ZCTA5 20742",""
"    ZCTA5 20742","4,769"
"ZCTA5 20743",""
"    ZCTA5 20743","40,709"
"ZCTA5 20744",""
"    ZCTA5 20744","52,747"
"ZCTA5 20745",""
"    ZCTA5 20745","32,024"
"ZCTA5 20746",""
"    ZCTA5 20746","31,635"
"ZCTA5 20747",""
"    ZCTA5 20747","40,696"
"ZCTA5 20748",""
"    ZCTA5 20748","39,689"
"ZCTA5 20751",""
"    ZCTA5 20751","2,374"
"ZCTA5 20754",""
"    ZCTA5 20754","6,913"
"ZCTA5 20755",""
"    ZCTA5 20755","9,324"
"ZCTA5 20758",""
"    ZCTA5 20758","741"
"ZCTA5 20759",""
"    ZCTA5 20759","6,562"
"ZCTA5 20762",""
"    ZCTA5 20762","3,002"
"ZCTA5 20763",""
"    ZCTA5 20763","2,745"
"ZCTA5 20764",""
"    ZCTA5 20764","4,199"
"ZCTA5 20765",""
"    ZCTA5 20765","466"
"ZCTA5 20769",""
"    ZCTA5 20769","7,009"
"ZCTA5 20770",""
"    ZCTA5 20770","28,612"
"ZCTA5 20771",""
"    ZCTA5 20771","3"
"ZCTA5 20772",""
"    ZCTA5 20772","51,395"
"ZCTA5 20774",""
"    ZCTA5 20774","51,984"
"ZCTA5 20776",""
"    ZCTA5 20776","3,266"
"ZCTA5 20777",""
"    ZCTA5 20777","3,527"
"ZCTA5 20778",""
"    ZCTA5 20778","1,871"
"ZCTA5 20779",""
"    ZCTA5 20779","1,272"
"ZCTA5 20781",""
"    ZCTA5 20781","13,662"
"ZCTA5 20782",""
"    ZCTA5 20782","35,356"
"ZCTA5 20783",""
"    ZCTA5 20783","48,946"
"ZCTA5 20784",""
"    ZCTA5 20784","32,567"
"ZCTA5 20785",""
"    ZCTA5 20785","41,636"
"ZCTA5 20794",""
"    ZCTA5 20794","16,658"
"ZCTA5 20812",""
"    ZCTA5 20812","287"
"ZCTA5 20814",""
"    ZCTA5 20814","31,919"
"ZCTA5 20815",""
"    ZCTA5 20815","31,517"
"ZCTA5 20816",""
"    ZCTA5 20816","17,035"
"ZCTA5 20817",""
"    ZCTA5 20817","38,908"
"ZCTA5 20818",""
"    ZCTA5 20818","1,832"
"ZCTA5 20832",""
"    ZCTA5 20832","25,969"
"ZCTA5 20833",""
"    ZCTA5 20833","7,913"
"ZCTA5 20837",""
"    ZCTA5 20837","6,634"
"ZCTA5 20838",""
"    ZCTA5 20838","218"
"ZCTA5 20839",""
"    ZCTA5 20839","176"
"ZCTA5 20841",""
"    ZCTA5 20841","9,538"
"ZCTA5 20842",""
"    ZCTA5 20842","2,021"
"ZCTA5 20850",""
"    ZCTA5 20850","51,045"
"ZCTA5 20851",""
"    ZCTA5 20851","14,327"
"ZCTA5 20852",""
"    ZCTA5 20852","48,347"
"ZCTA5 20853",""
"    ZCTA5 20853","30,611"
"ZCTA5 20854",""
"    ZCTA5 20854","50,698"
"ZCTA5 20855",""
"    ZCTA5 20855","17,003"
"ZCTA5 20860",""
"    ZCTA5 20860","2,079"
"ZCTA5 20861",""
"    ZCTA5 20861","3,067"
"ZCTA5 20862",""
"    ZCTA5 20862","453"
"ZCTA5 20866",""
"    ZCTA5 20866","15,199"
"ZCTA5 20868",""
"    ZCTA5 20868","671"
"ZCTA5 20871",""
"    ZCTA5 20871","28,557"
"ZCTA5 20872",""
"    ZCTA5 20872","13,349"
"ZCTA5 20874",""
"    ZCTA5 20874","62,908"
"ZCTA5 20876",""
"    ZCTA5 20876","26,034"
"ZCTA5 20877",""
"    ZCTA5 20877","37,577"
"ZCTA5 20878",""
"    ZCTA5 20878","65,990"
"ZCTA5 20879",""
"    ZCTA5 20879","26,176"
"ZCTA5 20880",""
"    ZCTA5 20880","504"
"ZCTA5 20882",""
"    ZCTA5 20882","13,890"
"ZCTA5 20886",""
"    ZCTA5 20886","35,649"
"ZCTA5 20889",""
"    ZCTA5 20889","1,010"
"ZCTA5 20892",""
"    ZCTA5 20892","2"
"ZCTA5 20894",""
"    ZCTA5 20894","0"
"ZCTA5 20895",""
"    ZCTA5 20895","19,753"
"ZCTA5 20896",""
"    ZCTA5 20896","1,019"
"ZCTA5 20899",""
"    ZCTA5 20899","125"
"ZCTA5 20901",""
"    ZCTA5 20901","36,537"
"ZCTA5 20902",""
"    ZCTA5 20902","52,533"
