"Label (Grouping)","Total"
"    ZCTA5 00925","5,501"
"ZCTA5 00926",""
"    ZCTA5 00926","96,732"
"ZCTA5 00927",""
"    ZCTA5 00927","14,297"
"ZCTA5 00934",""
"    ZCTA5 00934","218"
"ZCTA5 00949",""
"    ZCTA5 00949","67,453"
"ZCTA5 00950",""
"    ZCTA5 00950","6"
"ZCTA5 00951",""
"    ZCTA5 00951","430"
"ZCTA5 00952",""
"    ZCTA5 00952","8,671"
"ZCTA5 00953",""
"    ZCTA5 00953","66,369"
"ZCTA5 00956",""
"    ZCTA5 00956","72,353"
"ZCTA5 00957",""
"    ZCTA5 00957","40,540"
"ZCTA5 00959",""
"    ZCTA5 00959","43,625"
"ZCTA5 00960",""
"    ZCTA5 00960","2,891"
"ZCTA5 00961",""
"    ZCTA5 00961","28,062"
"ZCTA5 00962",""
"    ZCTA5 00962","19,741"
"ZCTA5 00965",""
"    ZCTA5 00965","6,168"
"ZCTA5 00966",""
"    ZCTA5 00966","16,977"
"ZCTA5 00968",""
"    ZCTA5 00968","3,722"
"ZCTA5 00969",""
"    ZCTA5 00969","38,838"
"ZCTA5 00971",""
"    ZCTA5 00971","28,517"
"ZCTA5 00976",""
"    ZCTA5 00976","59,879"
"ZCTA5 00979",""
"    ZCTA5 00979","14,929"
"ZCTA5 00982",""
"    ZCTA5 00982","14,182"
"ZCTA5 00983",""
"    ZCTA5 00983","31,889"
"ZCTA5 00985",""
"    ZCTA5 00985","31,250"
"ZCTA5 00987",""
"    ZCTA5 00987","58,427"
"ZCTA5 01001",""
"    ZCTA5 01001","16,984"
"ZCTA5 01002",""
"    ZCTA5 01002","27,558"
"ZCTA5 01003",""
"    ZCTA5 01003","13,253"
"ZCTA5 01005",""
"    ZCTA5 01005","4,900"
"ZCTA5 01007",""
"    ZCTA5 01007","15,423"
"ZCTA5 01008",""
"    ZCTA5 01008","1,317"
"ZCTA5 01009",""
"    ZCTA5 01009","980"
"ZCTA5 01010",""
"    ZCTA5 01010","3,711"
"ZCTA5 01011",""
"    ZCTA5 01011","1,201"
"ZCTA5 01012",""
"    ZCTA5 01012","519"
"ZCTA5 01013",""
"    ZCTA5 01013","23,656"
"ZCTA5 01020",""
"    ZCTA5 01020","29,781"
"ZCTA5 01022",""
"    ZCTA5 01022","2,158"
"ZCTA5 01026",""
"    ZCTA5 01026","1,011"
"ZCTA5 01027",""
"    ZCTA5 01027","17,896"
"ZCTA5 01028",""
"    ZCTA5 01028","16,417"
"ZCTA5 01029",""
"    ZCTA5 01029","714"
"ZCTA5 01030",""
"    ZCTA5 01030","11,708"
"ZCTA5 01031",""
"    ZCTA5 01031","1,406"
"ZCTA5 01032",""
"    ZCTA5 01032","483"
"ZCTA5 01033",""
"    ZCTA5 01033","6,092"
"ZCTA5 01034",""
"    ZCTA5 01034","1,977"
"ZCTA5 01035",""
"    ZCTA5 01035","5,325"
"ZCTA5 01036",""
"    ZCTA5 01036","4,966"
"ZCTA5 01037",""
"    ZCTA5 01037","706"
"ZCTA5 01038",""
"    ZCTA5 01038","2,522"
"ZCTA5 01039",""
"    ZCTA5 01039","1,511"
"ZCTA5 01040",""
"    ZCTA5 01040","38,238"
"ZCTA5 01050",""
"    ZCTA5 01050","2,467"
"ZCTA5 01053",""
"    ZCTA5 01053","2,031"
"ZCTA5 01054",""
"    ZCTA5 01054","1,889"
"ZCTA5 01056",""
"    ZCTA5 01056","21,002"
"ZCTA5 01057",""
"    ZCTA5 01057","8,152"
"ZCTA5 01060",""
"    ZCTA5 01060","14,461"
"ZCTA5 01062",""
"    ZCTA5 01062","10,910"
"ZCTA5 01063",""
"    ZCTA5 01063","2,106"
"ZCTA5 01066",""
"    ZCTA5 01066","215"
"ZCTA5 01068",""
"    ZCTA5 01068","1,904"
"ZCTA5 01069",""
"    ZCTA5 01069","8,428"
"ZCTA5 01070",""
"    ZCTA5 01070","577"
"ZCTA5 01071",""
"    ZCTA5 01071","1,486"
"ZCTA5 01072",""
"    ZCTA5 01072","1,366"
"ZCTA5 01073",""
"    ZCTA5 01073","6,224"
"ZCTA5 01074",""
"    ZCTA5 01074","584"
"ZCTA5 01075",""
"    ZCTA5 01075","18,168"
"ZCTA5 01077",""
"    ZCTA5 01077","9,237"
"ZCTA5 01079",""
"    ZCTA5 01079","701"
"ZCTA5 01080",""
"    ZCTA5 01080","2,400"
"ZCTA5 01081",""
"    ZCTA5 01081","1,684"
"ZCTA5 01082",""
"    ZCTA5 01082","10,565"
"ZCTA5 01083",""
"    ZCTA5 01083","2,549"
